"","Name","Facebook"
"1","Mike Thompson","RepMikeThompson"
"2","Barack Obama","whitehouse"
"3","Joseph R. Biden","whitehouse"
"4","Dianne Feinstein","SenatorFeinstein"
"5","Barbara Boxer","senatorboxer"
"6","Jim Wood","jimwoodassembly"
"7","Mike McGuire","SupervisorMikeMcGuire"
"8","Edmund G. Brown Jr.","jerrybrown"
"9","Gavin Newsom","GavinNewsom"
"10","Steve Freitas","sonoma.sheriff"
"11","Kamala D. Harris","149799031764167"
"12","Betty T. Yee","137732083043662"
"13","Alex Padilla","CaliforniaSOS"
"14","Dave Jones","insurancecagov"
"15","Tom Torlakson","CAEducation"
